title,price,star_rating,availability,category
It's Only the Himalayas,£45.17,Two,In stock,Travel
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,£49.43,Four,In stock,Travel
See America: A Celebration of Our National Parks & Treasured Sites,£48.87,Three,In stock,Travel
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,£36.94,Two,In stock,Travel
Under the Tuscan Sun,£37.33,Three,In stock,Travel
A Summer In Europe,£44.34,Two,In stock,Travel
The Great Railway Bazaar,£30.54,One,In stock,Travel
A Year in Provence (Provence #1),£56.88,Four,In stock,Travel
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),£23.21,One,In stock,Travel
Neither Here nor There: Travels in Europe,£38.95,Three,In stock,Travel
"1,000 Places to See Before You Die",£26.08,Five,In stock,Travel
Rip it Up and Start Again,£35.02,Five,In stock,Music
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,Three,In stock,Music
How Music Works,£37.32,Two,In stock,Music
Love Is a Mix Tape (Music #1),£18.03,One,In stock,Music
Please Kill Me: The Uncensored Oral History of Punk,£31.19,Four,In stock,Music
Kill 'Em and Leave: Searching for James Brown and the American Soul,£45.05,Five,In stock,Music
"Chronicles, Vol. 1",£52.60,Two,In stock,Music
This Is Your Brain on Music: The Science of a Human Obsession,£38.40,One,In stock,Music
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",£12.36,Three,In stock,Music
No One Here Gets Out Alive,£20.02,Five,In stock,Music
Life,£31.58,Five,In stock,Music
Old Records Never Die: One Man's Quest for His Vinyl and His Past,£55.66,Two,In stock,Music
Forever Rockers (The Rocker #12),£28.80,Three,In stock,Music
Wall and Piece,£44.18,Four,In stock,Art
Feathers: Displays of Brilliant Plumage,£49.05,Three,In stock,Art
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,£48.63,Four,In stock,Art
The New Drawing on the Right Side of the Brain,£43.02,Three,In stock,Art
History of Beauty,£10.29,Four,In stock,Art
The Story of Art,£41.14,Four,In stock,Art
The Art Book,£32.34,Two,In stock,Art
Ways of Seeing,£39.51,Five,In stock,Art
Security,£39.25,Two,In stock,Horror
Follow You Home,£21.36,One,In stock,Horror
The Loney,£23.40,One,In stock,Horror
Pet Sematary,£10.56,Three,In stock,Horror
Doctor Sleep (The Shining #2),£40.12,Two,In stock,Horror
Psycho: Sanitarium (Psycho #1.5),£36.97,Five,In stock,Horror
Can You Keep a Secret? (Fear Street Relaunch #4),£48.64,One,In stock,Horror
Red Dragon (Hannibal Lecter #1),£23.37,Three,In stock,Horror
Dracula the Un-Dead,£35.63,Five,In stock,Horror
Night Shift (Night Shift #1-20),£12.75,Four,In stock,Horror
Needful Things,£47.51,Four,In stock,Horror
Misery,£34.79,Two,In stock,Horror
